school,conf,wl,srs,sos,pts_for,pts_vs,ap_final,ncaa_result
ohio-state,Big Ten,0.686,19.68,7.37,75.3,63,30,Lost Regional Semifinal
ohio-state,Big Ten,0.714,17.84,8.12,69.5,59.8,22,Lost Second Round
ohio-state,Big Ten,0.784,20.19,9.32,70.2,59.4,7,Lost Regional Final
ohio-state,Big Ten,0.795,23.95,9.07,74.7,59.8,7,Lost National Semifinal
ohio-state,Big Ten,0.919,25.84,8.38,77.1,59.7,1,Lost Regional Semifinal
ohio-state,Big Ten,0.784,19.49,7.37,74.1,61.5,5,Lost Regional Semifinal
ohio-state,Big Ten,0.667,12.48,8.23,66.8,62,30,Lost First Round
ohio-state,Big Ten,0.897,21.54,9.03,74.5,62,1,Lost National Final
ohio-state,Big Ten,0.813,16.08,5.9,73.8,63.7,6,Lost Second Round
ohio-state,Big Ten,0.75,16.14,7.26,73.8,64.9,14,Lost Second Round
ohio-state,Big Ten,0.645,15.68,8.17,71.2,63.6,30,Lost First Round
ohio-state,Big Ten,0.767,17.55,6.55,72.7,61.7,8,Lost Second Round
ohio-state,Big Ten,0.75,19.02,9.51,74.9,64.8,14,Lost National Semifinal
oklahoma,Big 12,0.784,19.76,11.14,79.7,71.1,7,Lost National Semifinal
oklahoma,Big 12,0.686,18.65,9.94,71.5,62.7,13,Lost Regional Semifinal
oklahoma,Big 12,0.697,14.91,8.97,81.9,76,21,Lost Second Round
oklahoma,Big 12,0.625,11.4,7.09,70.6,66.3,30,Lost Second Round
oklahoma,Big 12,0.833,18.07,6.88,78.7,67.5,7,Lost Regional Final
oklahoma,Big 12,0.657,11.97,7.85,67.9,63.8,30,Lost Second Round
oklahoma,Big 12,0.69,11.89,6.79,68.8,63.7,24,Lost First Round
oklahoma,Big 12,0.758,19.96,8.84,75.2,63.3,17,Lost Second Round
oklahoma,Big 12,0.794,18.86,8.53,70.4,60,3,Lost Regional Final
oklahoma,Big 12,0.861,21.04,7.7,78,64.6,3,Lost National Semifinal
oklahoma,Big 12,0.788,15.54,5.48,74.4,64.3,13,Lost First Round
oklahoma,Big 12,0.794,19.25,6.63,74.9,62.3,12,Lost Second Round
oklahoma,Big 12,0.667,13.14,4.82,68.1,60,30,Lost Regional Semifinal
oklahoma,Big 12,0.667,9.4,4.18,74.6,68.3,30,Lost First Round
oklahoma,Big 12,0.633,13.96,5.03,74.3,65.3,30,Lost First Round
oklahoma,Big 8,0.567,12.8,6.83,79,73.1,30,Lost First Round
oklahoma-state,Big 12,0.563,12.95,9.63,67.5,62.8,30,Lost Second Round
oklahoma-state,Big 12,0.618,19.02,8.34,80.2,69.6,30,Lost Second Round
oklahoma-state,Big 12,0.727,15.57,6.73,71.8,63,17,Lost Second Round
oklahoma-state,Big 12,0.667,12.34,6.97,73.8,68,30,Lost First Round
oklahoma-state,Big 12,0.657,13.78,7.44,80.9,74.5,30,Lost Second Round
oklahoma-state,Big 12,0.788,21.4,9.68,78.3,65.2,6,Lost Regional Semifinal
oklahoma-state,Big 12,0.886,20.85,7.23,77.1,62.5,4,Lost National Semifinal
oklahoma-state,Big 12,0.688,14.62,8.46,69.5,62.6,30,Lost Second Round
oklahoma-state,Big 12,0.719,14.39,6.8,71.7,64.1,20,Lost First Round
oklahoma-state,Big 12,0.667,10.81,4.7,71,64.5,30,Lost First Round
oklahoma-state,Big 12,0.794,20.01,6.59,77.1,62.3,14,Lost Regional Final
oklahoma-state,Big 12,0.676,12.64,5.55,71.5,63.1,30,Lost Second Round
oklahoma-state,Big 12,0.759,14.29,4.63,78.9,69.2,30,Lost Second Round
old-dominion,CAA,0.794,9.03,1.76,65.6,58.4,30,Lost Second Round
old-dominion,CAA,0.75,11.39,1.78,67.1,57.5,30,Lost Second Round
old-dominion,CAA,0.727,7.83,0.44,69.4,62,30,Lost First Round
old-dominion,CAA,0.824,5.97,-2.59,71.5,61.1,30,Lost First Round
old-dominion,CAA,0.667,3.73,-0.45,71,66.8,30,Lost First Round
oral-roberts,Summit,0.727,5.71,-0.26,69.2,62,30,Lost First Round
oral-roberts,Mid-Cont,0.676,4.54,-1.04,71.8,64.9,30,Lost First Round
oral-roberts,Mid-Cont,0.636,3.23,-2.35,74.9,68.1,30,Lost First Round
oregon,Pac-12,0.816,18.05,8.64,78.7,68.8,5,Lost Regional Final
oregon,Pac-12,0.722,11.43,7.65,75.4,70.8,30,Lost Regional Semifinal
oregon,Pac-12,0.706,15.75,8.05,81.9,74.1,30,Lost Regional Semifinal
oregon,Pac-12,0.757,13.82,5.77,71.6,63.6,25,Lost Regional Semifinal
oregon,Pac-10,0.563,11.68,7.65,76.6,72.5,30,Lost First Round
oregon,Pac-10,0.784,15.95,6.3,75.9,66.2,10,Lost Regional Final
oregon,Pac-10,0.697,14.05,6.11,81.5,73.5,30,Lost First Round
oregon,Pac-10,0.743,19.67,6.93,85.5,72.5,11,Lost Regional Final
oregon,Pac-10,0.733,14.74,8.53,75.6,68.2,30,Lost First Round
oregon-state,Pac-12,0.594,10.39,9.26,71.9,70.1,30,Lost First Round
pacific,Big West,0.629,1.96,1.05,67,63.9,30,Lost Second Round
pacific,Big West,0.75,6.93,-1.57,74.3,64,30,Lost First Round
pacific,Big West,0.871,8.95,1.16,72.8,64.9,22,Lost Second Round
pacific,Big West,0.758,5.76,0.95,68.8,63.5,30,Lost Second Round
pacific,Big West,0.8,8.68,-2.43,72.9,60,30,Lost First Round
penn-state,Big Ten,0.559,11.98,11.45,63.1,62.5,30,Lost Second Round
penn-state,Big Ten,0.636,12.42,10.54,76.8,74.9,30,Lost Regional Semifinal
penn-state,Big Ten,0.75,17.08,6.33,74.8,64.1,18,Lost First Round
pennsylvania,Ivy,0.71,4.16,-1.64,74.1,67.7,30,Lost First Round
pennsylvania,Ivy,0.69,6.01,-2.31,68.5,60.1,30,Lost First Round
pennsylvania,Ivy,0.69,4.71,-1.98,68.3,61.7,30,Lost First Round
pennsylvania,Ivy,0.786,8.44,-1.45,69.9,60,30,Lost First Round
pennsylvania,Ivy,0.781,7.96,-1.51,73.2,63.7,30,Lost First Round
pennsylvania,Ivy,0.724,4,-2.89,67,60.1,30,Lost First Round
pennsylvania,Ivy,0.778,6.5,-3.91,71.1,60.7,30,Lost First Round
pepperdine,WCC,0.71,8.59,3.36,81.3,74.8,30,Lost First Round
pepperdine,WCC,0.735,13.11,3.35,73,63.2,30,Lost Second Round
pittsburgh,ACC,0.636,15.47,8.75,75,67.3,30,Lost First Round
pittsburgh,ACC,0.722,17.46,7.54,71.8,61.9,30,Lost Regional Semifinal
pittsburgh,Big East,0.727,18.82,5.63,69.2,56,20,Lost Second Round
pittsburgh,Big East,0.824,20.82,7.85,73.9,61,4,Lost Regional Semifinal
pittsburgh,Big East,0.735,14.3,7.39,68.7,61.8,18,Lost Second Round
pittsburgh,Big East,0.861,21.21,8.61,77.4,64.4,4,Lost Regional Final
pittsburgh,Big East,0.73,15.62,7.84,73.8,65.1,17,Lost Second Round
pittsburgh,Big East,0.784,16.99,8.53,71.3,62.8,12,Lost Regional Semifinal
pittsburgh,Big East,0.758,16.37,7.01,72.5,63.1,16,Lost Second Round
pittsburgh,Big East,0.69,14.53,5.73,72.3,63.5,30,Lost First Round
pittsburgh,Big East,0.861,18.2,6.49,67.9,56.4,9,Lost Regional Semifinal
pittsburgh,Big East,0.848,21.49,5.79,74.9,59.2,4,Lost Regional Semifinal
pittsburgh,Big East,0.829,14.69,4.55,72.3,60.9,9,Lost Regional Semifinal
portland,WCC,0.633,1.75,-0.18,76.2,72.2,30,Lost First Round
portland-state,Big Sky,0.697,1.14,-3.16,73.2,68.5,30,Lost First Round
portland-state,Big Sky,0.697,1.72,-3.01,73.9,68,30,Lost First Round
prairie-view,SWAC,0.433,-17.13,-6.21,72.5,80.1,30,Lost First Round
princeton,Ivy,0.781,3.71,-1.61,69.2,63,30,Lost Second Round
princeton,Ivy,0.714,1.54,-3.32,62.9,56.8,30,Lost First Round
princeton,Ivy,0.593,-2.53,-1.88,57.9,58.1,30,Lost First Round
princeton,Ivy,0.931,11.55,-3.6,66.5,51.6,8,Lost Second Round
princeton,Ivy,0.857,7.18,-3.01,64.8,53.4,30,Lost First Round
princeton,Ivy,0.759,2.53,-4.15,59.1,51.7,30,Lost Second Round
providence,Big East,0.686,11.94,8.46,73.6,70.1,30,Lost Second Round
providence,Big East,0.647,13.71,9.5,69.7,65.5,30,Lost Second Round
providence,Big East,0.657,11.37,7.85,73.3,69.8,30,Lost Second Round
providence,Big East,0.69,14.87,8.21,71,64.4,21,Lost First Round
providence,Big East,0.677,13.74,5.44,76.1,66.1,30,Lost First Round
providence,Big East,0.667,14.18,8.32,76.5,70.1,30,Lost Regional Final
purdue,Big Ten,0.743,20.17,7.46,77.9,65.2,12,Lost First Round
purdue,Big Ten,0.618,12.93,7.64,69.9,64.6,30,Lost Second Round
purdue,Big Ten,0.629,13.88,8.05,71.8,66,30,Lost Regional Semifinal
purdue,Big Ten,0.765,19.36,8.69,72.5,61.9,13,Lost Regional Semifinal
purdue,Big Ten,0.829,17.52,8.81,70.5,61.3,10,Lost Regional Semifinal
purdue,Big Ten,0.73,16.44,7.17,69.1,59.8,17,Lost Regional Semifinal
purdue,Big Ten,0.735,13.1,5.9,69.6,62.4,20,Lost Second Round
purdue,Big Ten,0.647,14.65,8.89,69.9,63.4,30,Lost Second Round
purdue,Big Ten,0.633,15.95,9.42,71.9,65.3,30,Lost Second Round
purdue,Big Ten,0.706,16.87,9.56,73.7,66.1,25,Lost Regional Final
purdue,Big Ten,0.618,13.22,10.42,68.5,65.7,30,Lost Regional Semifinal
purdue,Big Ten,0.778,20.68,9.23,83.7,72.3,11,Lost Regional Semifinal
purdue,Big Ten,0.6,12.24,10.91,72.1,70.7,30,Lost Second Round
purdue,Big Ten,0.813,17.24,8.49,73.1,64.3,4,Lost Second Round
radford,Big South,0.636,-4.55,-4.37,75.5,71.9,30,Lost First Round
radford,Big South,0.667,-5.03,-8.69,75.7,72.1,30,Lost First Round
rhode-island,A-10,0.606,9.52,5.59,72,68,30,Lost First Round
rhode-island,A-10,0.735,12.58,6.43,77.7,71.6,30,Lost Regional Final
rhode-island,A-10,0.667,16.5,6.4,80.7,70.6,30,Lost First Round
richmond,A-10,0.784,11.23,2.79,69.6,61.2,30,Lost Regional Semifinal
richmond,A-10,0.743,10.03,3.43,69.3,62.7,24,Lost First Round
richmond,A-10,0.606,10.07,5.07,64.5,59.5,30,Lost First Round
richmond,CAA,0.742,6.35,-1.68,70,61.9,30,Lost Second Round
robert-morris,NEC,0.571,-3.02,-3.5,69,68.5,30,Lost Second Round
robert-morris,NEC,0.657,-3.71,-6.15,68.5,65.9,30,Lost First Round
robert-morris,NEC,0.686,-0.7,-5.23,70.5,65.4,30,Lost First Round
saint-josephs,A-10,0.778,12.1,4.93,77.2,70.1,30,Lost Second Round
saint-josephs,A-10,0.706,9.05,5.08,71.6,67.6,30,Lost Second Round
saint-josephs,A-10,0.618,9.63,3.98,73.1,67.4,30,Lost First Round
saint-josephs,A-10,0.938,20.03,4.97,77.4,62.3,5,Lost Regional Final
saint-josephs,A-10,0.767,14.61,3.71,70.4,59.5,30,Lost First Round
saint-josephs,A-10,0.788,12.72,4.45,79.5,71.3,22,Lost Second Round
saint-josephs,A-10,0.788,12.96,7.71,71.2,66,12,Lost Regional Semifinal
saint-louis,A-10,0.794,11.63,4.24,69.8,61.9,25,Lost Regional Semifinal
saint-louis,A-10,0.8,14.33,4.28,68.2,58.2,13,Lost Regional Semifinal
saint-louis,A-10,0.765,15.15,4.06,68.7,57.6,30,Lost Regional Semifinal
saint-louis,CUSA,0.576,9,8.39,64.4,63.8,30,Lost First Round
saint-louis,CUSA,0.667,9.48,5.51,67.3,63.3,30,Lost Second Round
saint-marys-ca,WCC,0.8,14.51,3.31,74.6,62.9,30,Lost Second Round
saint-marys-ca,WCC,0.818,11.26,0.78,74.8,62.7,24,Lost Second Round
saint-marys-ca,WCC,0.824,13.38,2.2,78.5,66.4,30,Lost Regional Semifinal
saint-marys-ca,WCC,0.781,11.39,0.36,75.7,63.7,30,Lost First Round
saint-marys-ca,WCC,0.735,6.68,2.4,69.8,64.1,30,Lost First Round
saint-marys-ca,WCC,0.742,3.21,-0.89,70.6,65.1,30,Lost First Round
saint-peters,MAAC,0.588,-0.28,-1.08,60.9,60.1,30,Lost Second Round
sam-houston-state,Southland,0.758,3.71,-3.37,79.3,69.2,30,Lost First Round
sam-houston-state,Southland,0.767,-1.65,-6.87,72.8,65,30,Lost First Round
samford,A-Sun,0.656,3.2,-5.8,72.6,62.4,30,Lost First Round
samford,A-Sun,0.8,0.17,-9.16,72.9,62.7,30,Lost First Round
san-diego-state,MWC,0.75,11.81,4.24,61.8,53.9,30,Lost Regional Semifinal
san-diego-state,MWC,0.861,14.95,4.86,70.3,57,13,Lost Regional Semifinal
san-diego-state,MWC,0.676,13.01,6.19,69.3,61.1,30,Lost Regional Semifinal
san-diego-state,MWC,0.765,9.04,3.79,71.1,63.7,22,Lost Second Round
san-diego-state,MWC,0.919,17.96,6.36,71.9,59.2,6,Lost Regional Semifinal
san-diego-state,MWC,0.735,11.34,4.21,70.3,61.8,30,Lost First Round
san-diego-state,MWC,0.727,9.81,3.65,74.4,67.4,30,Lost First Round
san-diego-state,MWC,0.636,7.69,6.02,74.4,70.9,30,Lost First Round
san-diego,WCC,0.611,3.39,1.45,65.7,63.8,30,Lost Second Round
san-diego,WCC,0.6,5.46,2.74,75.5,71.4,30,Lost First Round
san-francisco,WCC,0.633,7.97,1.48,73.2,66.3,30,Lost First Round
san-jose-state,Big West,0.433,-3.16,1.21,72,76.4,30,Lost First Round
santa-clara,WCC,0.69,8.81,4.09,70.8,66.1,30,Lost Second Round
seton-hall,Big East,0.735,14.66,8.28,74.2,67.8,20,Lost First Round
seton-hall,Big East,0.6,6.78,6.11,67.8,67.1,30,Lost First Round
seton-hall,Big East,0.677,14.28,7.78,71.9,65.4,30,Lost Second Round
seton-hall,Big East,0.688,10.64,5.11,71.7,66.2,30,Lost Regional Semifinal
siena,MAAC,0.794,8.48,-1.17,75.1,65.5,30,Lost First Round
siena,MAAC,0.771,8.05,0.99,77.4,70.3,30,Lost Second Round
siena,MAAC,0.676,4.06,-1.62,76.9,71.2,30,Lost Second Round
siena,MAAC,0.472,-2.74,-3.71,69.9,68.9,30,Lost First Round
siena,MAAC,0.806,2.07,-4.87,86.6,79.8,30,Lost First Round
south-alabama,Sun Belt,0.788,7.76,-1.21,75.1,65.4,30,Lost First Round
south-alabama,Sun Belt,0.774,4.88,-2.18,73.6,65.6,30,Lost First Round
south-alabama,Sun Belt,0.75,7.56,-2.94,65,54.5,30,Lost First Round
south-alabama,Sun Belt,0.767,4.03,-4.51,66.2,56.6,30,Lost First Round
south-carolina,SEC,0.676,12.77,5.33,70.1,62.6,23,Lost First Round
south-carolina,SEC,0.742,12.51,8.77,71.3,67.4,14,Lost First Round
south-carolina,SEC,0.75,14.39,7.01,74.1,66.7,6,Lost First Round
south-carolina-state,MEAC,0.645,-9.2,-10.14,72.2,71.3,30,Lost First Round
south-carolina-state,MEAC,0.588,-10.41,-9.38,70.2,71.2,30,Lost First Round
south-carolina-state,MEAC,0.733,-5.68,-10.23,74.4,70,30,Lost First Round
south-carolina-state,MEAC,0.733,-5.26,-13.08,72,64.2,30,Lost First Round
south-florida,Big East,0.611,9.2,7.29,59.3,56.6,30,Lost Regional Semifinal
southeast-missouri-state,OVC,0.774,4.42,-2.48,69.5,61.6,30,Lost First Round
southeastern-louisiana,Southland,0.727,-0.86,-5.22,63.2,55.8,30,Lost First Round
southern-california,Pac-12,0.618,13.52,7.64,80.5,74.6,30,Lost First Round
southern-california,Pac-10,0.559,11.52,7.97,66.2,62.7,30,Lost First Round
southern-california,Pac-10,0.629,14.09,9.15,68.5,63.5,30,Lost Second Round
southern-california,Pac-10,0.636,13.89,8.59,69,63.7,30,Lost First Round
southern-california,Pac-10,0.676,13.78,7.87,71.8,65.2,23,Lost Regional Semifinal
southern-california,Pac-10,0.688,16.49,8.31,77.9,69.8,18,Lost First Round
southern-california,Pac-10,0.706,16.53,10.83,77.1,71.2,30,Lost Regional Final
southern-california,Pac-10,0.607,13.38,10.09,79.6,76.3,30,Lost First Round
southern-illinois,MVC,0.806,13.59,7.53,62.9,56.2,14,Lost Regional Semifinal
southern-illinois,MVC,0.667,8.93,4.62,60.4,56.5,30,Lost First Round
southern-illinois,MVC,0.771,11.53,5.12,67.6,60.7,30,Lost Second Round
southern-illinois,MVC,0.833,10.7,2.64,71,63,30,Lost First Round
southern-illinois,MVC,0.774,8.57,2.37,74.4,68.2,30,Lost First Round
southern-illinois,MVC,0.778,9.79,1.67,75.5,67.4,30,Lost Regional Semifinal
southern,SWAC,0.697,-2.61,-10.31,67.4,57.3,30,Lost Second Round
southern,SWAC,0.606,-5.97,-6.69,65.4,64.7,30,Lost First Round
southern-methodist,AAC,0.794,12.94,3.57,69.1,59.8,18,Lost Second Round
southern-mississippi,CUSA,0.735,7.79,3.61,71.4,65.1,30,Lost Second Round
southern-utah,Mid-Cont,0.806,3.01,-3.42,72.4,65,30,Lost First Round
st-bonaventure,A-10,0.625,8.25,2.84,70.4,65,30,Lost Second Round
st-bonaventure,A-10,0.677,9.45,5.29,68.9,64.7,30,Lost First Round
st-johns-ny,Big East,0.636,11.85,9.04,71,67.9,30,Lost Second Round
st-johns-ny,Big East,0.636,13.1,10.01,70.1,67,18,Lost Second Round
st-johns-ny,Big East,0.625,7.8,6.3,70.3,68.8,30,Lost First Round
st-johns-ny,Big East,0.758,14.26,6.96,61.9,66.4,9,Lost Second Round
st-johns-ny,Big East,0.757,22.71,9.09,79,65.4,9,Lost Regional Final
st-johns-ny,Big East,0.688,11.28,6.77,72.9,68.2,30,Lost First Round
stanford,Pac-12,0.639,13.42,9,72.7,68.3,30,Lost Regional Semifinal
stanford,Pac-10,0.778,16.31,6.95,70.9,61.6,10,Lost Regional Semifinal
stanford,Pac-10,0.581,11.16,9.06,69.5,67.1,30,Lost First Round
stanford,Pac-10,0.581,9.1,8.13,70.1,68.8,30,Lost First Round
stanford,Pac-10,0.938,17.46,4.34,73.6,60.5,1,Lost Second Round
stanford,Pac-10,0.727,13.25,8.37,72.5,67.6,18,Lost Second Round
stanford,Pac-10,0.667,17.03,9.03,80.7,72.7,24,Lost Second Round
stanford,Pac-10,0.912,25.76,9.86,83.2,65.5,2,Lost Regional Final
stanford,Pac-10,0.871,25.65,7.12,78.9,59.7,3,Lost Second Round
stanford,Pac-10,0.788,22.21,10.34,73.5,60.8,7,Lost Second Round
stanford,Pac-10,0.857,19,8.18,80.2,68.3,10,Lost National Semifinal
stanford,Pac-10,0.733,19.73,9.05,80.9,69,21,Lost Regional Semifinal
stanford,Pac-10,0.69,14.85,6.33,75.2,66.7,30,Lost Second Round
stephen-f-austin,Southland,0.824,9.23,-5.47,80.2,63.3,30,Lost Second Round
stephen-f-austin,Southland,0.853,8.61,-4.2,78.6,64.4,30,Lost Second Round
stephen-f-austin,Southland,0.914,4.82,-6.76,76,63.4,30,Lost Regional Semifinal
stephen-f-austin,Southland,0.75,1.1,-3.21,65.6,56.1,30,Lost First Round
syracuse,ACC,0.622,14.62,9.75,70,65.1,30,Lost National Semifinal
syracuse,ACC,0.824,16.05,7.25,68,59.2,14,Lost Regional Semifinal
syracuse,Big East,0.75,20.3,8.57,70.4,58.7,16,Lost National Semifinal
syracuse,Big East,0.919,21.12,8.02,74.1,61,2,Lost Regional Final
syracuse,Big East,0.771,18.85,8.79,73.4,63.3,12,Lost Regional Semifinal
syracuse,Big East,0.857,21.72,7.21,80.9,66.4,4,Lost Regional Semifinal
syracuse,Big East,0.737,17.24,9.48,80.2,71.7,13,Lost Regional Semifinal
syracuse,Big East,0.657,11.68,8.16,72.4,68.9,21,Lost First Round
syracuse,Big East,0.794,15.95,6.83,74.9,64.6,11,Lost First Round
syracuse,Big East,0.742,13.06,7.61,73.1,67.6,20,Lost Regional Semifinal
syracuse,Big East,0.857,19.02,9.02,79.6,69.6,13,Won National Final
syracuse,Big East,0.735,11.14,5.82,72.8,67.5,17,Lost Second Round
syracuse,Big East,0.813,17.67,6.2,75,63.5,16,Lost Regional Semifinal
syracuse,Big East,0.636,15.86,7.64,72.3,63.2,30,Lost First Round
syracuse,Big East,0.743,11.86,7.98,70.9,67,21,Lost Regional Semifinal
syracuse,Big East,0.763,18.99,11.35,76.2,68.6,15,Lost National Final
temple,AAC,0.636,7.69,6.57,68.7,67.6,30,Lost First Round
temple,A-10,0.706,9.52,5.2,72.2,67.9,30,Lost Regional Semifinal
temple,A-10,0.75,10.44,4.94,75,69.5,30,Lost Second Round
temple,A-10,0.765,12.35,4.23,70.6,62.5,30,Lost Regional Semifinal
temple,A-10,0.829,12.44,4.27,64.9,56.8,12,Lost First Round
temple,A-10,0.647,9.05,3.9,68.6,63.5,30,Lost First Round
temple,A-10,0.618,8.16,4.57,72.3,68.7,30,Lost First Round
temple,A-10,0.649,16.2,9.77,70.4,63.9,30,Lost Regional Final
temple,A-10,0.818,20.64,6.94,68.5,54.8,5,Lost Second Round
temple,A-10,0.686,17.05,8.97,66.6,58.5,30,Lost Regional Final
temple,A-10,0.7,12.5,7.5,65.7,60.7,24,Lost First Round
temple,A-10,0.645,14.68,9.04,66.3,60.6,30,Lost Second Round
temple,A-10,0.606,11.08,9.29,60,58.2,30,Lost Second Round
tennessee,SEC,0.649,17.34,7.84,72.2,61.7,30,Lost Regional Semifinal
tennessee,SEC,0.559,11.08,8.73,69.9,67.5,30,Lost Second Round
